name,full_path,dir,date,time,size,comment
"build_cloud_ppj.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\Current projects lite\VBGOD_LD\StarshipDetector\pellesC_engine\build_cloud_ppj.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\Current projects lite\VBGOD_LD\StarshipDetector\pellesC_engine\","12/03/2025","09:11",870,"Batch program discovered on D:"
"build.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\downloads\full_symbolic_loader\Current projects\VBGOD_LD\StarshipDetector\build.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\downloads\full_symbolic_loader\Current projects\VBGOD_LD\StarshipDetector\","12/05/2025","03:20",1277,"Batch program discovered on D:"
"build_cloud_ppj.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\downloads\full_symbolic_loader\Current projects\VBGOD_LD\StarshipDetector\build_cloud_ppj.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\downloads\full_symbolic_loader\Current projects\VBGOD_LD\StarshipDetector\","12/05/2025","03:20",1369,"Batch program discovered on D:"
"build_windows.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\downloads\full_symbolic_loader\Current projects\VBGOD_LD\StarshipDetector\build_windows.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\downloads\full_symbolic_loader\Current projects\VBGOD_LD\StarshipDetector\","12/05/2025","03:20",179,"Batch program discovered on D:"
"verify_starship.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\downloads\full_symbolic_loader\Current projects\VBGOD_LD\StarshipDetector\verify_starship.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\downloads\full_symbolic_loader\Current projects\VBGOD_LD\StarshipDetector\","12/05/2025","03:20",267,"Batch program discovered on D:"
"build.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\downloads\full_symbolic_loader\Current projects\VBGOD_LD\StarshipDetector\pellesC_engine\build.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\downloads\full_symbolic_loader\Current projects\VBGOD_LD\StarshipDetector\pellesC_engine\","12/05/2025","03:20",1277,"Batch program discovered on D:"
"build_cloud_ppj.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\downloads\full_symbolic_loader\Current projects\VBGOD_LD\StarshipDetector\pellesC_engine\build_cloud_ppj.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\downloads\full_symbolic_loader\Current projects\VBGOD_LD\StarshipDetector\pellesC_engine\","12/05/2025","03:20",870,"Batch program discovered on D:"
"build.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\old\New folder\Current Projects\Current projects\VBGOD_LD\StarshipDetector\build.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\old\New folder\Current Projects\Current projects\VBGOD_LD\StarshipDetector\","12/03/2025","08:00",1277,"Batch program discovered on D:"
"build_cloud_ppj.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\old\New folder\Current Projects\Current projects\VBGOD_LD\StarshipDetector\build_cloud_ppj.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\old\New folder\Current Projects\Current projects\VBGOD_LD\StarshipDetector\","12/03/2025","09:52",1369,"Batch program discovered on D:"
"build_windows.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\old\New folder\Current Projects\Current projects\VBGOD_LD\StarshipDetector\build_windows.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\old\New folder\Current Projects\Current projects\VBGOD_LD\StarshipDetector\","12/03/2025","05:06",179,"Batch program discovered on D:"
